Week Start Date,Product ID,Product Name,Units Sold,Price ($),Discount Percentage,Revenue ($),Region,Avg Gas Price,CPI
07-01-2024,P001,Product_1,23,21.85,20,402.12,USA,3.089,309.794
07-01-2024,P028,Product_28,27,39.69,0,1071.73,USA,3.089,309.794
07-01-2024,P029,Product_29,20,28.52,0,570.46,USA,3.089,309.794
07-01-2024,P030,Product_30,18,19.15,5,327.4,USA,3.089,309.794
07-01-2024,P031,Product_31,27,45.84,0,1237.69,USA,3.089,309.794
07-01-2024,P032,Product_32,17,15.3,0,260.03,USA,3.089,309.794
07-01-2024,P033,Product_33,24,18.04,0,432.93,USA,3.089,309.794
07-01-2024,P034,Product_34,21,41.17,0,864.47,USA,3.089,309.794
07-01-2024,P035,Product_35,16,45.17,5,686.51,USA,3.089,309.794
07-01-2024,P036,Product_36,18,15.26,0,274.63,USA,3.089,309.794
07-01-2024,P038,Product_38,18,23.78,0,428.1,USA,3.089,309.794
07-01-2024,P027,Product_27,21,10.38,10,196.21,USA,3.089,309.794
07-01-2024,P039,Product_39,19,10.39,0,197.48,USA,3.089,309.794
07-01-2024,P041,Product_41,10,21.36,20,170.91,USA,3.089,309.794
07-01-2024,P042,Product_42,19,17.82,0,338.54,USA,3.089,309.794
07-01-2024,P043,Product_43,19,32.43,5,585.37,USA,3.089,309.794
07-01-2024,P044,Product_44,21,11.52,0,241.93,USA,3.089,309.794
07-01-2024,P045,Product_45,25,49.35,0,1233.86,USA,3.089,309.794
07-01-2024,P046,Product_46,23,15.69,10,324.86,USA,3.089,309.794
07-01-2024,P047,Product_47,22,21.55,5,450.4,USA,3.089,309.794
07-01-2024,P048,Product_48,30,9.06,10,244.7,USA,3.089,309.794
07-01-2024,P049,Product_49,20,19.44,0,388.7,USA,3.089,309.794
07-01-2024,P050,Product_50,17,35.49,0,603.34,USA,3.089,309.794
07-01-2024,P040,Product_40,22,28.35,10,561.24,USA,3.089,309.794
07-01-2024,P026,Product_26,26,44.92,0,1168.04,USA,3.089,309.794
07-01-2024,P037,Product_37,20,41.81,15,710.78,USA,3.089,309.794
07-01-2024,P024,Product_24,24,19.89,0,477.37,USA,3.089,309.794
07-01-2024,P025,Product_25,24,18.99,0,455.86,USA,3.089,309.794
07-01-2024,P003,Product_3,27,7.61,15,174.74,USA,3.089,309.794
07-01-2024,P004,Product_4,23,5.93,20,109.04,USA,3.089,309.794
07-01-2024,P005,Product_5,17,42.46,0,721.82,USA,3.089,309.794
07-01-2024,P006,Product_6,17,18.69,5,301.86,USA,3.089,309.794
07-01-2024,P007,Product_7,14,24.44,0,342.13,USA,3.089,309.794
07-01-2024,P008,Product_8,21,18.15,0,381.08,USA,3.089,309.794
07-01-2024,P009,Product_9,20,25.52,10,459.42,USA,3.089,309.794
07-01-2024,P010,Product_10,12,31.66,0,379.9,USA,3.089,309.794
07-01-2024,P011,Product_11,16,32.34,0,517.43,USA,3.089,309.794
07-01-2024,P012,Product_12,18,35.79,0,644.23,USA,3.089,309.794
07-01-2024,P002,Product_2,27,12.02,0,324.56,USA,3.089,309.794
07-01-2024,P014,Product_14,13,19.03,5,234.98,USA,3.089,309.794
07-01-2024,P013,Product_13,24,10.49,0,251.8,USA,3.089,309.794
07-01-2024,P022,Product_22,24,39.71,0,952.97,USA,3.089,309.794
07-01-2024,P021,Product_21,25,39.75,0,993.78,USA,3.089,309.794
07-01-2024,P020,Product_20,18,8.35,20,120.31,USA,3.089,309.794
07-01-2024,P019,Product_19,21,17.64,5,351.96,USA,3.089,309.794
07-01-2024,P023,Product_23,21,21.13,0,443.75,USA,3.089,309.794
07-01-2024,P017,Product_17,12,7.04,0,84.42,USA,3.089,309.794
07-01-2024,P016,Product_16,20,8.98,0,179.64,USA,3.089,309.794
07-01-2024,P015,Product_15,23,29.6,0,680.85,USA,3.089,309.794
07-01-2024,P018,Product_18,16,42.29,0,676.69,USA,3.089,309.794
14-01-2024,P037,Product_37,23,25.95,5,567.05,USA,3.073,309.794
14-01-2024,P029,Product_29,21,11.3,5,225.51,USA,3.073,309.794
14-01-2024,P030,Product_30,22,36.37,10,720.04,USA,3.073,309.794
14-01-2024,P031,Product_31,22,21.18,0,465.9,USA,3.073,309.794
14-01-2024,P032,Product_32,22,44.02,15,823.14,USA,3.073,309.794
14-01-2024,P033,Product_33,22,28.01,5,585.42,USA,3.073,309.794
14-01-2024,P034,Product_34,25,36.59,10,823.24,USA,3.073,309.794
14-01-2024,P028,Product_28,20,32.68,20,522.81,USA,3.073,309.794
14-01-2024,P035,Product_35,16,45.05,0,720.8,USA,3.073,309.794
14-01-2024,P036,Product_36,18,31.02,0,558.41,USA,3.073,309.794
14-01-2024,P039,Product_39,20,42.02,0,840.34,USA,3.073,309.794
14-01-2024,P044,Product_44,20,40.78,0,815.67,USA,3.073,309.794
14-01-2024,P041,Product_41,20,33.03,0,660.6,USA,3.073,309.794
14-01-2024,P042,Product_42,16,29.33,5,445.79,USA,3.073,309.794
14-01-2024,P043,Product_43,9,37.67,20,271.25,USA,3.073,309.794
14-01-2024,P045,Product_45,22,24.75,0,544.58,USA,3.073,309.794
14-01-2024,P046,Product_46,24,23.4,0,561.67,USA,3.073,309.794
14-01-2024,P047,Product_47,28,12.04,0,337.11,USA,3.073,309.794
14-01-2024,P048,Product_48,22,34.71,0,763.6,USA,3.073,309.794
14-01-2024,P049,Product_49,30,47.97,10,1295.16,USA,3.073,309.794
14-01-2024,P050,Product_50,25,23.88,0,597.05,USA,3.073,309.794
14-01-2024,P027,Product_27,15,47.13,5,671.56,USA,3.073,309.794
14-01-2024,P040,Product_40,14,39.65,0,555.1,USA,3.073,309.794
14-01-2024,P026,Product_26,24,12.63,5,287.9,USA,3.073,309.794
14-01-2024,P038,Product_38,11,6.37,0,70.1,USA,3.073,309.794
14-01-2024,P024,Product_24,19,48.36,15,781.06,USA,3.073,309.794
14-01-2024,P002,Product_2,22,36.09,0,794.03,USA,3.073,309.794
14-01-2024,P003,Product_3,16,47.15,0,754.45,USA,3.073,309.794
14-01-2024,P004,Product_4,18,46.61,15,713.15,USA,3.073,309.794
14-01-2024,P005,Product_5,21,16.61,5,331.32,USA,3.073,309.794
